transaction_narration,label
Investment in Mutual Fund Rs 3066 Ref:ec03c327,investment
Education Loan EMI deducted Rs 39905 Ref:55dcf2f7,emi
Travel booking via Uber amount Rs 22284 Ref:3165860c,travel
Payment of Rs 8885 at Restaurant Ref:678d4840,food
Payment of Rs 7814 at Swiggy Ref:82c07b75,food
Personal Loan EMI deducted Rs 7912 Ref:31d71f9e,emi
Home Loan EMI deducted Rs 4759 Ref:d823a15a,emi
Online purchase at Flipkart Rs 35875 Ref:188f24bc,shopping
Payment of Rs 19615 at McDonalds Ref:ab610ebc,food
Payment of Rs 35682 at Zomato Ref:3dc58145,food
Payment of Rs 1024 at Zomato Ref:9d4b8c52,food
Investment in NPS Rs 923 Ref:9560dd81,investment
Payment of Rs 36550 at Swiggy Ref:65d7404b,food
Home Loan EMI deducted Rs 16521 Ref:4fbccb2a,emi
Travel booking via IRCTC amount Rs 1150 Ref:58c8e796,travel
Travel booking via Metro amount Rs 6307 Ref:16f0e320,travel
Investment in Fixed Deposit Rs 6037 Ref:ddbe1511,investment
Investment in Stocks Rs 13224 Ref:722f2440,investment
Online purchase at Amazon Rs 36156 Ref:d96b99e6,shopping
Online purchase at Flipkart Rs 48815 Ref:e6eea573,shopping
Car Loan EMI deducted Rs 29217 Ref:fd308ec6,emi
Education Loan EMI deducted Rs 26188 Ref:04ed5030,emi
Education Loan EMI deducted Rs 15664 Ref:14141d51,emi
Car Loan EMI deducted Rs 28592 Ref:b7a4649f,emi
Payment of Rs 21307 at Zomato Ref:8554398e,food
Travel booking via Metro amount Rs 9118 Ref:34f20826,travel
Travel booking via Ola amount Rs 9578 Ref:c8e24cdd,travel
Payment of Rs 18704 at Restaurant Ref:a6834b72,food
Education Loan EMI deducted Rs 9360 Ref:e7254f38,emi
Payment of Rs 22713 at Cafe Coffee Day Ref:8b503fa7,food
Payment of Rs 9163 at Zomato Ref:3453248f,food
Investment in Stocks Rs 28940 Ref:e73fc802,investment
Online purchase at Croma Rs 47333 Ref:442dbaaa,shopping
Education Loan EMI deducted Rs 21787 Ref:aaccfb7a,emi
Online purchase at Flipkart Rs 4482 Ref:3e1892c0,shopping
Investment in PPF Rs 35942 Ref:873ae073,investment
Online purchase at Myntra Rs 30400 Ref:ecc2f0db,shopping
Investment in NPS Rs 34485 Ref:ae3b5bf7,investment
Investment in Fixed Deposit Rs 14259 Ref:4bb318f0,investment
Home Loan EMI deducted Rs 15023 Ref:1f8a4307,emi
Payment of Rs 3630 at Swiggy Ref:3d195902,food
Investment in NPS Rs 11864 Ref:5352c288,investment
Payment of Rs 29118 at Dominos Ref:c4a14aa0,food
Travel booking via Ola amount Rs 43034 Ref:72b4f04d,travel
Travel booking via Metro amount Rs 32479 Ref:b923f59e,travel
Payment of Rs 20933 at Swiggy Ref:8d0495bf,food
Travel booking via Uber amount Rs 44516 Ref:a218ce9e,travel
Investment in Fixed Deposit Rs 44771 Ref:879202e6,investment
Car Loan EMI deducted Rs 12348 Ref:ee63c1f3,emi
Car Loan EMI deducted Rs 28651 Ref:0b956cfe,emi
Online purchase at Flipkart Rs 28857 Ref:04f43241,shopping
Payment of Rs 43489 at Restaurant Ref:7267828a,food
Payment of Rs 42150 at Dominos Ref:4941b0c8,food
Investment in NPS Rs 3069 Ref:06cd37ff,investment
Travel booking via Uber amount Rs 36604 Ref:33bd54dc,travel
Car Loan EMI deducted Rs 10778 Ref:7f4c8f10,emi
Payment of Rs 42299 at McDonalds Ref:bd966a3e,food
Investment in Stocks Rs 40514 Ref:d2f819ea,investment
Payment of Rs 10529 at Zomato Ref:7569d5a8,food
Online purchase at Myntra Rs 9470 Ref:fde887f5,shopping
Investment in Stocks Rs 8732 Ref:b3d62d8e,investment
Payment of Rs 44072 at Swiggy Ref:a847d362,food
Investment in Fixed Deposit Rs 15349 Ref:27be8037,investment
Investment in Stocks Rs 34692 Ref:9db36e88,investment
Home Loan EMI deducted Rs 16884 Ref:39281147,emi
Education Loan EMI deducted Rs 28493 Ref:2c6cef7b,emi
Payment of Rs 34925 at McDonalds Ref:0cfea6e0,food
Payment of Rs 21637 at Restaurant Ref:c742381b,food
Online purchase at Myntra Rs 25493 Ref:b771d320,shopping
Travel booking via IRCTC amount Rs 15892 Ref:611be413,travel
Payment of Rs 21427 at Swiggy Ref:26e25d15,food
Investment in Mutual Fund Rs 28865 Ref:192c1e8e,investment
Travel booking via IndiGo amount Rs 23678 Ref:2d4940d7,travel
Education Loan EMI deducted Rs 13376 Ref:69e92a4d,emi
Travel booking via Ola amount Rs 21379 Ref:30cc5cb6,travel
Online purchase at Reliance Trends Rs 31508 Ref:13fbc662,shopping
Home Loan EMI deducted Rs 36103 Ref:87eca655,emi
Investment in NPS Rs 1303 Ref:b19c1020,investment
Payment of Rs 26512 at Cafe Coffee Day Ref:0305795d,food
Payment of Rs 32396 at McDonalds Ref:47462e4f,food
Investment in Fixed Deposit Rs 24835 Ref:cc39cf4c,investment
Education Loan EMI deducted Rs 6129 Ref:88268fde,emi
Travel booking via IndiGo amount Rs 15567 Ref:d12db751,travel
Online purchase at Flipkart Rs 14961 Ref:9d7fb7bd,shopping
Investment in SIP Rs 27511 Ref:6372bb54,investment
Investment in Mutual Fund Rs 35754 Ref:d639ed78,investment
Travel booking via IndiGo amount Rs 28491 Ref:e2aec5c2,travel
Online purchase at DMart Rs 17817 Ref:af1589f0,shopping
Car Loan EMI deducted Rs 43457 Ref:d5f045d7,emi
Personal Loan EMI deducted Rs 25897 Ref:eb076c27,emi
Travel booking via Uber amount Rs 9417 Ref:9636b9fa,travel
Car Loan EMI deducted Rs 705 Ref:c5c1d3fd,emi
Travel booking via IRCTC amount Rs 7869 Ref:bca1e3cd,travel
Travel booking via SpiceJet amount Rs 30971 Ref:0b4d2042,travel
Education Loan EMI deducted Rs 13763 Ref:6d6681d9,emi
Travel booking via IndiGo amount Rs 43298 Ref:3c6f8c12,travel
Investment in Stocks Rs 5152 Ref:09920b51,investment
Online purchase at Flipkart Rs 33459 Ref:d1ab7b30,shopping
Travel booking via Metro amount Rs 17516 Ref:eef3feda,travel
Online purchase at Reliance Trends Rs 15355 Ref:c2c2f58a,shopping
Online purchase at Flipkart Rs 1208 Ref:9bca6390,shopping
Online purchase at Flipkart Rs 6725 Ref:f634f4e8,shopping
Online purchase at DMart Rs 28034 Ref:d38b6c28,shopping
Payment of Rs 29691 at McDonalds Ref:37e2e37b,food
Education Loan EMI deducted Rs 37763 Ref:197d3335,emi
Personal Loan EMI deducted Rs 30045 Ref:ff522e10,emi
Payment of Rs 11628 at Dominos Ref:ec155d45,food
Travel booking via IRCTC amount Rs 5063 Ref:5e0aa422,travel
Travel booking via Metro amount Rs 46312 Ref:bc4182b9,travel
Investment in Mutual Fund Rs 34306 Ref:f497bbc9,investment
Investment in PPF Rs 20876 Ref:cb330f29,investment
Investment in Fixed Deposit Rs 12617 Ref:c745e3d8,investment
Travel booking via IndiGo amount Rs 5026 Ref:160842b8,travel
Online purchase at Amazon Rs 46676 Ref:8a4d91ba,shopping
Online purchase at Reliance Trends Rs 36661 Ref:b0e1e995,shopping
Payment of Rs 42753 at Dominos Ref:3e45e299,food
Payment of Rs 21442 at Dominos Ref:a8ca37e5,food
Online purchase at Flipkart Rs 41503 Ref:c6353e33,shopping
Travel booking via IndiGo amount Rs 24752 Ref:a7dfa602,travel
Personal Loan EMI deducted Rs 33011 Ref:8c87a58e,emi
Travel booking via Uber amount Rs 6332 Ref:b78df2fb,travel
Car Loan EMI deducted Rs 4598 Ref:6356365e,emi
Online purchase at Flipkart Rs 13027 Ref:21f3d4e9,shopping
Personal Loan EMI deducted Rs 34127 Ref:7d6f6877,emi
Online purchase at Reliance Trends Rs 34775 Ref:ccf6f28f,shopping
Online purchase at Myntra Rs 25399 Ref:43c0bb41,shopping
Online purchase at Croma Rs 45743 Ref:ca5fe27a,shopping
Online purchase at Reliance Trends Rs 38813 Ref:a9581708,shopping
Travel booking via SpiceJet amount Rs 38624 Ref:eb5a899a,travel
Travel booking via Metro amount Rs 20616 Ref:a9ba0503,travel
Car Loan EMI deducted Rs 3440 Ref:6c6412cf,emi
Online purchase at Myntra Rs 17031 Ref:430969b6,shopping
Investment in NPS Rs 29176 Ref:1b27cfee,investment
Online purchase at Flipkart Rs 36635 Ref:022a0035,shopping
Travel booking via Metro amount Rs 33067 Ref:57981241,travel
Investment in Fixed Deposit Rs 41006 Ref:fd860e55,investment
Travel booking via SpiceJet amount Rs 16730 Ref:96cfe27e,travel
Payment of Rs 10979 at Restaurant Ref:55f28361,food
Education Loan EMI deducted Rs 26099 Ref:a89ec3fc,emi
Payment of Rs 21343 at Dominos Ref:b6bbf992,food
Personal Loan EMI deducted Rs 41843 Ref:ad5c916d,emi
Home Loan EMI deducted Rs 9988 Ref:8369772a,emi
Investment in PPF Rs 18766 Ref:1d318d94,investment
Home Loan EMI deducted Rs 36871 Ref:2be16f05,emi
Online purchase at Amazon Rs 33232 Ref:8f97481d,shopping
Online purchase at DMart Rs 4341 Ref:08abf90f,shopping
Investment in Mutual Fund Rs 19610 Ref:39f74107,investment
Investment in NPS Rs 34423 Ref:8bf11a29,investment
Investment in NPS Rs 29374 Ref:ba93db58,investment
Home Loan EMI deducted Rs 4680 Ref:fb9614d5,emi
Personal Loan EMI deducted Rs 7451 Ref:8442d188,emi
Online purchase at Croma Rs 31500 Ref:c5ffc1ac,shopping
Payment of Rs 16267 at Cafe Coffee Day Ref:59e2fa70,food
Education Loan EMI deducted Rs 32586 Ref:0340a9be,emi
Payment of Rs 7075 at Swiggy Ref:b633c67f,food
Payment of Rs 13071 at Cafe Coffee Day Ref:23209e95,food
Education Loan EMI deducted Rs 1775 Ref:bdd76bd2,emi
Investment in Mutual Fund Rs 37239 Ref:709dba61,investment
Home Loan EMI deducted Rs 22606 Ref:93686b11,emi
Travel booking via SpiceJet amount Rs 42862 Ref:a900c6eb,travel
Payment of Rs 48945 at McDonalds Ref:a869839c,food
Online purchase at Amazon Rs 10323 Ref:fe182781,shopping
Personal Loan EMI deducted Rs 44939 Ref:e17f7f95,emi
Payment of Rs 37155 at Dominos Ref:17da40d8,food
Online purchase at DMart Rs 40359 Ref:f5d63228,shopping
Payment of Rs 2456 at Swiggy Ref:31f886e0,food
Online purchase at Amazon Rs 31744 Ref:935d725f,shopping
Car Loan EMI deducted Rs 43427 Ref:02310a32,emi
Investment in Stocks Rs 10582 Ref:263c3c13,investment
Investment in NPS Rs 8637 Ref:3ef868b7,investment
Personal Loan EMI deducted Rs 1376 Ref:de10ac50,emi
Personal Loan EMI deducted Rs 27813 Ref:28670dea,emi
Payment of Rs 29983 at Cafe Coffee Day Ref:a0dba9c1,food
Car Loan EMI deducted Rs 49095 Ref:211c9118,emi
Investment in SIP Rs 41055 Ref:4535b4fc,investment
Investment in Fixed Deposit Rs 7750 Ref:69055e7d,investment
Personal Loan EMI deducted Rs 42186 Ref:ff57c8d3,emi
Travel booking via Uber amount Rs 37403 Ref:2453c21d,travel
Home Loan EMI deducted Rs 38410 Ref:d595b980,emi
Payment of Rs 4063 at Swiggy Ref:de46a0d4,food
Payment of Rs 23951 at Cafe Coffee Day Ref:4c675c9c,food
Investment in NPS Rs 37060 Ref:3428c349,investment
Payment of Rs 1595 at Cafe Coffee Day Ref:5514e4ce,food
Investment in Mutual Fund Rs 40320 Ref:f2d590aa,investment
Travel booking via Metro amount Rs 1140 Ref:75f5fd25,travel
Travel booking via Uber amount Rs 6253 Ref:2734b765,travel
Education Loan EMI deducted Rs 2039 Ref:7865f033,emi
Investment in PPF Rs 22877 Ref:a0fee1c7,investment
Education Loan EMI deducted Rs 13361 Ref:8e403676,emi
Investment in PPF Rs 46491 Ref:1ec3108e,investment
Travel booking via SpiceJet amount Rs 3317 Ref:fb565789,travel
Payment of Rs 7606 at Cafe Coffee Day Ref:114d9d9c,food
Online purchase at Flipkart Rs 38350 Ref:995d2f4c,shopping
Online purchase at Croma Rs 13872 Ref:4150c44f,shopping
Education Loan EMI deducted Rs 17387 Ref:17db2a93,emi
Investment in Fixed Deposit Rs 20646 Ref:638e74e0,investment
Personal Loan EMI deducted Rs 38430 Ref:6c88a186,emi
Payment of Rs 12192 at Restaurant Ref:967c0c03,food
Investment in PPF Rs 412 Ref:4814b41e,investment
Payment of Rs 9422 at McDonalds Ref:f024bbf0,food
Education Loan EMI deducted Rs 42090 Ref:94f93d29,emi
Payment of Rs 1484 at Dominos Ref:61c324c7,food
Investment in NPS Rs 1224 Ref:e5ea4101,investment
Home Loan EMI deducted Rs 40294 Ref:ae88465f,emi
Travel booking via IndiGo amount Rs 15103 Ref:f320618e,travel
Travel booking via SpiceJet amount Rs 9977 Ref:43c217b0,travel
Investment in Stocks Rs 37442 Ref:4e0fda81,investment
Online purchase at Myntra Rs 24593 Ref:eb40e977,shopping
Investment in PPF Rs 21046 Ref:5f85a1de,investment
Online purchase at Croma Rs 2494 Ref:85b7bcd4,shopping
Travel booking via Ola amount Rs 27844 Ref:49b902ea,travel
Car Loan EMI deducted Rs 33046 Ref:bd7e7c51,emi
Online purchase at Myntra Rs 20955 Ref:b36dd750,shopping
Investment in Fixed Deposit Rs 24726 Ref:19dd0fae,investment
Education Loan EMI deducted Rs 7139 Ref:4e2dfe7c,emi
Travel booking via SpiceJet amount Rs 37144 Ref:6926c269,travel
Payment of Rs 37382 at Zomato Ref:76f5d2ab,food
Payment of Rs 28881 at Restaurant Ref:58b70b78,food
Travel booking via Uber amount Rs 44537 Ref:d33a362e,travel
Investment in Mutual Fund Rs 26077 Ref:56286d91,investment
Investment in Stocks Rs 14561 Ref:778961de,investment
Payment of Rs 33946 at Restaurant Ref:b69db2e3,food
Home Loan EMI deducted Rs 29544 Ref:7990f15a,emi
Payment of Rs 1100 at Swiggy Ref:787d920e,food
Payment of Rs 14999 at Zomato Ref:b91d0334,food
Payment of Rs 11400 at Dominos Ref:e7465ce9,food
Online purchase at Reliance Trends Rs 4890 Ref:b3096ab2,shopping
Payment of Rs 17323 at Restaurant Ref:53a8ccf3,food
Investment in Stocks Rs 37966 Ref:b2d9ccaa,investment
Investment in SIP Rs 2355 Ref:38754392,investment
Personal Loan EMI deducted Rs 42113 Ref:eefb7c4b,emi
Investment in PPF Rs 1781 Ref:6cf11a8d,investment
Travel booking via IndiGo amount Rs 3009 Ref:fa525326,travel
Investment in Mutual Fund Rs 29721 Ref:385d6c9b,investment
Travel booking via IndiGo amount Rs 21029 Ref:11db7bd3,travel
Investment in PPF Rs 18983 Ref:8a4f77d2,investment
Payment of Rs 41626 at Zomato Ref:94b48547,food
Home Loan EMI deducted Rs 5316 Ref:00661af6,emi
Investment in Mutual Fund Rs 47477 Ref:763647de,investment
Travel booking via Metro amount Rs 24983 Ref:f83051db,travel
Payment of Rs 32927 at Swiggy Ref:02d3bfac,food
Education Loan EMI deducted Rs 14763 Ref:f9801fd0,emi
Payment of Rs 4245 at Dominos Ref:e684e076,food
Education Loan EMI deducted Rs 12828 Ref:a1815f64,emi
Home Loan EMI deducted Rs 19219 Ref:3c5344c3,emi
Travel booking via Ola amount Rs 33210 Ref:d7e19c81,travel
Payment of Rs 49366 at Restaurant Ref:2e989595,food
Investment in Stocks Rs 13804 Ref:0f65db48,investment
Investment in SIP Rs 44166 Ref:64e6ac1c,investment
Car Loan EMI deducted Rs 1878 Ref:39b553e7,emi
Investment in Stocks Rs 26445 Ref:4c8f91f8,investment
Payment of Rs 15460 at Restaurant Ref:c123ff37,food
Online purchase at Croma Rs 10451 Ref:638a3af2,shopping
Investment in PPF Rs 32236 Ref:68a6a360,investment
Online purchase at DMart Rs 48704 Ref:0e2d7ad7,shopping
Car Loan EMI deducted Rs 17846 Ref:b70b17ab,emi
Online purchase at Flipkart Rs 18426 Ref:78cbc195,shopping
Online purchase at Flipkart Rs 36828 Ref:6456711c,shopping
Travel booking via Ola amount Rs 15752 Ref:ebef491f,travel
Payment of Rs 33801 at Restaurant Ref:b94c6a44,food
Investment in PPF Rs 33659 Ref:0a5fc2b8,investment
Online purchase at Croma Rs 21633 Ref:011a6577,shopping
Online purchase at Reliance Trends Rs 20376 Ref:3361cf9e,shopping
Investment in Fixed Deposit Rs 42059 Ref:904331f3,investment
Car Loan EMI deducted Rs 3843 Ref:5c1acc26,emi
Investment in SIP Rs 341 Ref:d5519e19,investment
Payment of Rs 39586 at McDonalds Ref:695424fe,food
Travel booking via Ola amount Rs 26284 Ref:7fab0da5,travel
Travel booking via Metro amount Rs 47588 Ref:4e7f77fe,travel
Travel booking via Ola amount Rs 26867 Ref:29cc63af,travel
Education Loan EMI deducted Rs 42383 Ref:fb0a3ed6,emi
Car Loan EMI deducted Rs 22846 Ref:d4c71120,emi
Online purchase at Myntra Rs 6415 Ref:0c08be2d,shopping
Online purchase at Amazon Rs 15924 Ref:11ce80e7,shopping
Car Loan EMI deducted Rs 39136 Ref:4db8e90f,emi
Investment in NPS Rs 6454 Ref:ed3437ad,investment
Home Loan EMI deducted Rs 39311 Ref:9fc128f0,emi
Online purchase at Croma Rs 34412 Ref:8450219f,shopping
Travel booking via IRCTC amount Rs 8774 Ref:dc462554,travel
Travel booking via SpiceJet amount Rs 15418 Ref:9298d5be,travel
Car Loan EMI deducted Rs 28316 Ref:7f95ffaf,emi
Travel booking via IRCTC amount Rs 2081 Ref:0114f248,travel
Travel booking via SpiceJet amount Rs 23213 Ref:2d2e0999,travel
Online purchase at DMart Rs 13523 Ref:707c60e4,shopping
Investment in PPF Rs 28681 Ref:69660dbe,investment
Travel booking via SpiceJet amount Rs 23466 Ref:136ab5d5,travel
Investment in Fixed Deposit Rs 18620 Ref:8c9d57a5,investment
Car Loan EMI deducted Rs 9695 Ref:4707a995,emi
Online purchase at Reliance Trends Rs 35469 Ref:2f7781a8,shopping
Car Loan EMI deducted Rs 20928 Ref:b12cc99f,emi
Payment of Rs 20307 at McDonalds Ref:2fcc3680,food
Personal Loan EMI deducted Rs 2683 Ref:54c5b2d9,emi
Travel booking via Ola amount Rs 25682 Ref:4f9709fe,travel
Online purchase at DMart Rs 14997 Ref:cb091672,shopping
Online purchase at Reliance Trends Rs 16919 Ref:71080d93,shopping
Education Loan EMI deducted Rs 38458 Ref:60e20d04,emi
Education Loan EMI deducted Rs 44746 Ref:147470b3,emi
Online purchase at Croma Rs 48488 Ref:3dd5212e,shopping
Travel booking via IndiGo amount Rs 26753 Ref:9194f1a8,travel
Education Loan EMI deducted Rs 48706 Ref:e147fa7a,emi
Travel booking via Ola amount Rs 34195 Ref:e49866bf,travel
Personal Loan EMI deducted Rs 39500 Ref:c09390df,emi
Investment in Mutual Fund Rs 11997 Ref:593c89e6,investment
Travel booking via IRCTC amount Rs 30127 Ref:b70e8328,travel
Online purchase at Myntra Rs 17620 Ref:64742504,shopping
Personal Loan EMI deducted Rs 30318 Ref:b3f9a452,emi
Online purchase at Amazon Rs 48134 Ref:ffcc2b4e,shopping
Investment in Stocks Rs 40038 Ref:40631758,investment
Travel booking via IRCTC amount Rs 5276 Ref:34ac21da,travel
Online purchase at Reliance Trends Rs 45402 Ref:11110fc1,shopping
Payment of Rs 5168 at Swiggy Ref:a7db6e83,food
Investment in Stocks Rs 23879 Ref:52183e9b,investment
Travel booking via Uber amount Rs 22414 Ref:d96b923e,travel
Travel booking via IRCTC amount Rs 3079 Ref:4e8f074d,travel
Travel booking via Ola amount Rs 34971 Ref:b22951a9,travel
Online purchase at Croma Rs 7453 Ref:4e8ea949,shopping
Online purchase at Croma Rs 25530 Ref:8c57fb9d,shopping
Home Loan EMI deducted Rs 42374 Ref:1051c6cb,emi
Payment of Rs 41591 at Zomato Ref:d7fa15b3,food
Payment of Rs 13656 at Dominos Ref:41e1b9db,food
Online purchase at Croma Rs 39499 Ref:38ea2d38,shopping
Online purchase at Croma Rs 32697 Ref:35264742,shopping
Travel booking via SpiceJet amount Rs 44386 Ref:430b6535,travel
Online purchase at Amazon Rs 15951 Ref:762dbb51,shopping
Home Loan EMI deducted Rs 16056 Ref:36e7c08f,emi
Payment of Rs 6659 at McDonalds Ref:5690d9b0,food
Online purchase at Myntra Rs 18155 Ref:fafb8b93,shopping
Travel booking via Ola amount Rs 9639 Ref:3bc35f09,travel
Travel booking via Metro amount Rs 22397 Ref:ff59493e,travel
Travel booking via SpiceJet amount Rs 1332 Ref:f14fdc92,travel
Online purchase at Croma Rs 47164 Ref:fe186474,shopping
Investment in Stocks Rs 13200 Ref:c8a981ea,investment
Investment in NPS Rs 48527 Ref:f626e742,investment
Payment of Rs 15485 at Cafe Coffee Day Ref:bbeecc07,food
Online purchase at Flipkart Rs 49748 Ref:1dfe8b71,shopping
Home Loan EMI deducted Rs 15036 Ref:ee982c0a,emi
Investment in PPF Rs 17810 Ref:6201d0bb,investment
Payment of Rs 15286 at Zomato Ref:f0b74a36,food
Payment of Rs 46662 at Zomato Ref:a2b9ed40,food
Payment of Rs 21625 at Zomato Ref:ca69f924,food
Online purchase at Croma Rs 35530 Ref:4a7dc88c,shopping
Travel booking via Uber amount Rs 3432 Ref:aa9e3de0,travel
Car Loan EMI deducted Rs 44195 Ref:9923b99c,emi
Investment in Fixed Deposit Rs 9386 Ref:cc829be1,investment
Travel booking via IndiGo amount Rs 7745 Ref:0376f280,travel
Online purchase at Flipkart Rs 46396 Ref:dcac41de,shopping
Travel booking via IRCTC amount Rs 44209 Ref:74d499a9,travel
